wavenumber,intensity
599.760403,0
600.242526,0
600.724648,0
601.206771,0
601.688893,0
602.171016,0
602.653138,0
603.135261,0
603.617383,0
604.099506,0
604.581628,0
605.063751,0
605.545873,0
606.027996,0
606.510118,0
606.992241,0
607.474363,0
607.956486,0
608.438608,0
608.920731,0
609.402853,0
609.884976,0
610.367099,0
610.849221,0
611.331344,0
611.813466,0
612.295589,0
612.777711,0
613.259834,0
613.741956,0
614.224079,0
614.706201,0
615.188324,0
615.670446,0
616.152569,0
616.634691,0
617.116814,0
617.598936,0
618.081059,0
618.563181,0
619.045304,0
619.527426,0
620.009549,0
620.491671,0
620.973794,0
621.455916,0
621.938039,0
622.420161,0
622.902284,0
623.384406,0
623.866529,0
624.348651,0
624.830774,0
625.312896,0
625.795019,0
626.277141,0
626.759264,0
627.241386,0
627.723509,0
628.205631,0
628.687754,0
629.169876,0
629.651999,0
630.134121,0
630.616244,0
631.098366,0
631.580489,0
632.062611,0
632.544734,0
633.026857,0
633.508979,0
633.991102,0
634.473224,0
634.955347,0
635.437469,0
635.919592,0
636.401714,0
636.883837,0
637.365959,0
637.848082,0
638.330204,0
638.812327,0
639.294449,0
639.776572,0
640.258694,0
640.740817,0
641.222939,0
641.705062,0
642.187184,0
642.669307,0
643.151429,0
643.633552,0
644.115674,0
644.597797,0
645.079919,0
645.562042,0
646.044164,0
646.526287,0
647.008409,0
647.490532,0
647.972654,0
648.454777,0
648.936899,0
649.419022,0
649.901144,0
650.383267,0
650.865389,0
651.347512,0
651.829634,0
652.311757,0
652.793879,0
653.276002,0
653.758124,0
654.240247,0
654.722369,0
655.204492,0
655.686615,0
656.168737,0
656.65086,0
657.132982,0
657.615105,0
658.097227,0
658.57935,0
659.061472,0
659.543595,0
660.025717,0
660.50784,0
660.989962,0
661.472085,0
661.954207,0
662.43633,0
662.918452,0
663.400575,0
663.882697,0
664.36482,0
664.846942,0
665.329065,0
665.811187,0
666.29331,0
666.775432,0
667.257555,0
667.739677,0
668.2218,0
668.703922,0
669.186045,0
669.668167,0
670.15029,0
670.632412,0
671.114535,0
671.596657,0
672.07878,0
672.560902,0
673.043025,0
673.525147,0
674.00727,0
674.489392,0
674.971515,0
675.453637,0
675.93576,0
676.417882,0
676.900005,0
677.382127,0
677.86425,0
678.346373,0
678.828495,0
679.310618,0
679.79274,0
680.274863,0
680.756985,0
681.239108,0
681.72123,0
682.203353,0
682.685475,0
683.167598,0
683.64972,0
684.131843,0
684.613965,0
685.096088,0
685.57821,0
686.060333,0
686.542455,0
687.024578,0
687.5067,0
687.988823,0
688.470945,0
688.953068,0
689.43519,0
689.917313,0
690.399435,0
690.881558,0
691.36368,0
691.845803,0
692.327925,0
692.810048,0
693.29217,0
693.774293,0
694.256415,0
694.738538,0
695.22066,0
695.702783,0
696.184905,0
696.667028,0
697.14915,0
697.631273,0
698.113395,0
698.595518,0
699.07764,0
699.559763,0
700.041885,0
700.524008,0
701.006131,0
701.488253,0
701.970376,0
702.452498,0
702.934621,0
703.416743,0
703.898866,0
704.380988,0
704.863111,0
705.345233,0
705.827356,0
706.309478,0
706.791601,0
707.273723,0
707.755846,0
708.237968,0
708.720091,0
709.202213,0
709.684336,0
710.166458,0
710.648581,0
711.130703,0
711.612826,0
712.094948,0
712.577071,0
713.059193,0
713.541316,0
714.023438,0
714.505561,0
714.987683,0
715.469806,0
715.951928,0
716.434051,0
716.916173,0
717.398296,0
717.880418,0
718.362541,0
718.844663,0
719.326786,0
719.808908,0
720.291031,0.020937056
720.773153,0.021310002
721.255276,0.021677538
721.737398,0.021768872
722.219521,0.021664736
722.701643,0.021397208
723.183766,0.021108077
723.665889,0
724.148011,0
724.630134,0
725.112256,0
725.594379,0
726.076501,0
726.558624,0
727.040746,0
727.522869,0
728.004991,0
728.487114,0
728.969236,0
729.451359,0
729.933481,0
730.415604,0
730.897726,0
731.379849,0
731.861971,0
732.344094,0
732.826216,0
733.308339,0
733.790461,0
734.272584,0
734.754706,0
735.236829,0
735.718951,0
736.201074,0
736.683196,0
737.165319,0
737.647441,0
738.129564,0
738.611686,0
739.093809,0
739.575931,0
740.058054,0
740.540176,0
741.022299,0
741.504421,0
741.986544,0
742.468666,0
742.950789,0
743.432911,0
743.915034,0
744.397156,0
744.879279,0
745.361401,0
745.843524,0
746.325647,0
746.807769,0
747.289892,0
747.772014,0
748.254137,0
748.736259,0
749.218382,0
749.700504,0
750.182627,0
750.664749,0
751.146872,0
751.628994,0
752.111117,0
752.593239,0
753.075362,0
753.557484,0
754.039607,0
754.521729,0
755.003852,0
755.485974,0
755.968097,0
756.450219,0
756.932342,0
757.414464,0
757.896587,0
758.378709,0
758.860832,0
759.342954,0
759.825077,0
760.307199,0
760.789322,0
761.271444,0
761.753567,0
762.235689,0
762.717812,0
763.199934,0
763.682057,0
764.164179,0
764.646302,0
765.128424,0
765.610547,0
766.092669,0
766.574792,0
767.056914,0
767.539037,0
768.021159,0
768.503282,0
768.985405,0
769.467527,0
769.94965,0
770.431772,0
770.913895,0
771.396017,0
771.87814,0
772.360262,0
772.842385,0
773.324507,0
773.80663,0
774.288752,0
774.770875,0
775.252997,0
775.73512,0
776.217242,0
776.699365,0
777.181487,0
777.66361,0
778.145732,0
778.627855,0
779.109977,0
779.5921,0
780.074222,0
780.556345,0
781.038467,0
781.52059,0
782.002712,0
782.484835,0
782.966957,0
783.44908,0
783.931202,0
784.413325,0
784.895447,0
785.37757,0
785.859692,0
786.341815,0
786.823937,0
787.30606,0
787.788182,0
788.270305,0
788.752427,0
789.23455,0
789.716672,0
790.198795,0
790.680918,0
791.16304,0
791.645163,0
792.127285,0
792.609408,0
793.09153,0
793.573653,0
794.055775,0
794.537898,0
795.02002,0
795.502143,0
795.984265,0
796.466388,0
796.94851,0
797.430633,0
797.912755,0
798.394878,0
798.877,0
799.359123,0
799.841245,0
800.323368,0
800.80549,0
801.287613,0
801.769735,0
802.251858,0
802.73398,0
803.216103,0
803.698225,0
804.180348,0
804.66247,0
805.144593,0
805.626715,0
806.108838,0
806.59096,0
807.073083,0
807.555205,0
808.037328,0
808.51945,0
809.001573,0
809.483695,0
809.965818,0
810.44794,0
810.930063,0
811.412185,0
811.894308,0
812.37643,0
812.858553,0
813.340676,0
813.822798,0
814.304921,0
814.787043,0
815.269166,0
815.751288,0
816.233411,0
816.715533,0
817.197656,0
817.679778,0
818.161901,0
818.644023,0
819.126146,0
819.608268,0
820.090391,0
820.572513,0
821.054636,0
821.536758,0
822.018881,0
822.501003,0
822.983126,0
823.465248,0
823.947371,0
824.429493,0
824.911616,0
825.393738,0
825.875861,0
826.357983,0
826.840106,0
827.322228,0
827.804351,0
828.286473,0
828.768596,0
829.250718,0
829.732841,0
830.214963,0
830.697086,0
831.179208,0
831.661331,0
832.143453,0
832.625576,0
833.107698,0
833.589821,0
834.071943,0
834.554066,0
835.036188,0
835.518311,0
836.000434,0
836.482556,0
836.964679,0
837.446801,0
837.928924,0
838.411046,0
838.893169,0
839.375291,0
839.857414,0.021298757
840.339536,0.022558093
840.821659,0.023128575
841.303781,0.022658303
841.785904,0.021731995
842.268026,0
842.750149,0
843.232271,0
843.714394,0
844.196516,0
844.678639,0
845.160761,0
845.642884,0
846.125006,0
846.607129,0
847.089251,0
847.571374,0
848.053496,0
848.535619,0
849.017741,0
849.499864,0
849.981986,0
850.464109,0
850.946231,0
851.428354,0
851.910476,0
852.392599,0
852.874721,0
853.356844,0
853.838966,0
854.321089,0
854.803211,0
855.285334,0
855.767456,0
856.249579,0
856.731701,0
857.213824,0
857.695946,0
858.178069,0
858.660192,0
859.142314,0
859.624437,0
860.106559,0
860.588682,0
861.070804,0
861.552927,0
862.035049,0
862.517172,0
862.999294,0
863.481417,0
863.963539,0
864.445662,0
864.927784,0
865.409907,0
865.892029,0
866.374152,0
866.856274,0
867.338397,0
867.820519,0
868.302642,0
868.784764,0
869.266887,0
869.749009,0
870.231132,0
870.713254,0
871.195377,0
871.677499,0
872.159622,0
872.641744,0
873.123867,0
873.605989,0
874.088112,0
874.570234,0
875.052357,0
875.534479,0
876.016602,0
876.498724,0
876.980847,0
877.462969,0
877.945092,0
878.427214,0
878.909337,0
879.391459,0
879.873582,0
880.355704,0
880.837827,0
881.31995,0
881.802072,0
882.284195,0
882.766317,0
883.24844,0
883.730562,0
884.212685,0
884.694807,0
885.17693,0
885.659052,0
886.141175,0
886.623297,0
887.10542,0
887.587542,0
888.069665,0
888.551787,0
889.03391,0
889.516032,0
889.998155,0
890.480277,0
890.9624,0
891.444522,0
891.926645,0
892.408767,0
892.89089,0
893.373012,0
893.855135,0
894.337257,0
894.81938,0
895.301502,0
895.783625,0
896.265747,0
896.74787,0
897.229992,0
897.712115,0
898.194237,0
898.67636,0
899.158482,0
899.640605,0
900.122727,0
900.60485,0
901.086972,0
901.569095,0
902.051217,0
902.53334,0
903.015462,0
903.497585,0
903.979708,0
904.46183,0
904.943953,0
905.426075,0
905.908198,0
906.39032,0
906.872443,0
907.354565,0
907.836688,0
908.31881,0
908.800933,0
909.283055,0
909.765178,0
910.2473,0
910.729423,0
911.211545,0
911.693668,0
912.17579,0
912.657913,0
913.140035,0
913.622158,0
914.10428,0
914.586403,0
915.068525,0
915.550648,0
916.03277,0
916.514893,0
916.997015,0
917.479138,0
917.96126,0
918.443383,0
918.925505,0
919.407628,0
919.88975,0
920.371873,0
920.853995,0
921.336118,0
921.81824,0
922.300363,0
922.782485,0
923.264608,0
923.74673,0
924.228853,0
924.710975,0
925.193098,0
925.67522,0
926.157343,0
926.639466,0
927.121588,0
927.603711,0
928.085833,0
928.567956,0
929.050078,0
929.532201,0
930.014323,0
930.496446,0
930.978568,0
931.460691,0
931.942813,0
932.424936,0
932.907058,0
933.389181,0
933.871303,0
934.353426,0
934.835548,0
935.317671,0
935.799793,0
936.281916,0
936.764038,0
937.246161,0
937.728283,0
938.210406,0
938.692528,0
939.174651,0
939.656773,0
940.138896,0
940.621018,0
941.103141,0
941.585263,0
942.067386,0
942.549508,0
943.031631,0
943.513753,0
943.995876,0
944.477998,0
944.960121,0
945.442243,0
945.924366,0
946.406488,0
946.888611,0
947.370733,0
947.852856,0
948.334978,0
948.817101,0
949.299224,0
949.781346,0
950.263469,0
950.745591,0
951.227714,0
951.709836,0
952.191959,0
952.674081,0
953.156204,0
953.638326,0
954.120449,0
954.602571,0
955.084694,0
955.566816,0
956.048939,0
956.531061,0
957.013184,0
957.495306,0
957.977429,0
958.459551,0
958.941674,0
959.423796,0
959.905919,0
960.388041,0
960.870164,0
961.352286,0
961.834409,0
962.316531,0
962.798654,0
963.280776,0
963.762899,0
964.245021,0
964.727144,0
965.209266,0
965.691389,0
966.173511,0
966.655634,0
967.137756,0
967.619879,0
968.102001,0
968.584124,0
969.066246,0
969.548369,0
970.030491,0
970.512614,0
970.994736,0
971.476859,0.022824393
971.958982,0.024480423
972.441104,0.024934713
972.923227,0.024517118
973.405349,0.023013014
973.887472,0.020865929
974.369594,0
974.851717,0
975.333839,0
975.815962,0
976.298084,0
976.780207,0
977.262329,0
977.744452,0
978.226574,0
978.708697,0
979.190819,0
979.672942,0
980.155064,0
980.637187,0
981.119309,0
981.601432,0
982.083554,0
982.565677,0
983.047799,0
983.529922,0
984.012044,0
984.494167,0
984.976289,0
985.458412,0
985.940534,0
986.422657,0
986.904779,0
987.386902,0
987.869024,0
988.351147,0
988.833269,0
989.315392,0
989.797514,0
990.279637,0
990.761759,0
991.243882,0
991.726004,0
992.208127,0
992.690249,0
993.172372,0
993.654494,0
994.136617,0
994.61874,0
995.100862,0
995.582985,0
996.065107,0
996.54723,0
997.029352,0
997.511475,0
997.993597,0
998.47572,0
998.957842,0
999.439965,0
999.922087,0
1000.40421,0
1000.886332,0
1001.368455,0
1001.850577,0
1002.3327,0
1002.814822,0
1003.296945,0
1003.779067,0
1004.26119,0
1004.743312,0
1005.225435,0
1005.707557,0
1006.18968,0
1006.671802,0
1007.153925,0
1007.636047,0
1008.11817,0
1008.600292,0
1009.082415,0
1009.564537,0
1010.04666,0
1010.528782,0
1011.010905,0
1011.493027,0
1011.97515,0
1012.457272,0
1012.939395,0
1013.421517,0
1013.90364,0
1014.385762,0
1014.867885,0
1015.350007,0
1015.83213,0
1016.314252,0
1016.796375,0
1017.278498,0
1017.76062,0
1018.242743,0
1018.724865,0
1019.206988,0
1019.68911,0
1020.171233,0
1020.653355,0
1021.135478,0
1021.6176,0
1022.099723,0
1022.581845,0
1023.063968,0
1023.54609,0
1024.028213,0
1024.510335,0
1024.992458,0
1025.47458,0
1025.956703,0
1026.438825,0
1026.920948,0
1027.40307,0
1027.885193,0
1028.367315,0
1028.849438,0
1029.33156,0
1029.813683,0
1030.295805,0
1030.777928,0
1031.26005,0
1031.742173,0
1032.224295,0
1032.706418,0
1033.18854,0
1033.670663,0
1034.152785,0
1034.634908,0
1035.11703,0
1035.599153,0
1036.081275,0
1036.563398,0
1037.04552,0
1037.527643,0
1038.009765,0
1038.491888,0
1038.97401,0
1039.456133,0
1039.938256,0
1040.420378,0
1040.902501,0
1041.384623,0
1041.866746,0
1042.348868,0
1042.830991,0
1043.313113,0
1043.795236,0
1044.277358,0
1044.759481,0
1045.241603,0
1045.723726,0
1046.205848,0
1046.687971,0
1047.170093,0
1047.652216,0
1048.134338,0
1048.616461,0
1049.098583,0
1049.580706,0
1050.062828,0
1050.544951,0
1051.027073,0
1051.509196,0
1051.991318,0
1052.473441,0
1052.955563,0
1053.437686,0
1053.919808,0
1054.401931,0
1054.884053,0
1055.366176,0
1055.848298,0
1056.330421,0
1056.812543,0
1057.294666,0
1057.776788,0
1058.258911,0
1058.741033,0
1059.223156,0
1059.705278,0
1060.187401,0
1060.669523,0
1061.151646,0
1061.633768,0
1062.115891,0
1062.598014,0
1063.080136,0
1063.562259,0
1064.044381,0
1064.526504,0
1065.008626,0
1065.490749,0
1065.972871,0
1066.454994,0
1066.937116,0
1067.419239,0
1067.901361,0
1068.383484,0
1068.865606,0
1069.347729,0
1069.829851,0
1070.311974,0
1070.794096,0
1071.276219,0
1071.758341,0
1072.240464,0
1072.722586,0
1073.204709,0
1073.686831,0
1074.168954,0
1074.651076,0
1075.133199,0
1075.615321,0
1076.097444,0
1076.579566,0
1077.061689,0
1077.543811,0
1078.025934,0
1078.508056,0
1078.990179,0
1079.472301,0
1079.954424,0
1080.436546,0
1080.918669,0
1081.400791,0
1081.882914,0
1082.365036,0
1082.847159,0
1083.329281,0
1083.811404,0
1084.293527,0
1084.775649,0
1085.257772,0
1085.739894,0
1086.222017,0
1086.704139,0
1087.186262,0
1087.668384,0
1088.150507,0
1088.632629,0
1089.114752,0
1089.596874,0
1090.078997,0
1090.561119,0
1091.043242,0
1091.525364,0
1092.007487,0
1092.489609,0
1092.971732,0
1093.453854,0
1093.935977,0
1094.418099,0
1094.900222,0
1095.382344,0
1095.864467,0
1096.346589,0
